epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35533,3.25887,4.14061,2.28337,0.0025,0.75,0.00242,0.0008,3.2994,5.17242,2.23266,0.09901,1e-05,1e-05
2,6.72316,2.69083,3.6292,2.33381,0,0,0,0,3.6102,5.14774,2.66484,0.0970294,2.9406e-05,2.9406e-05
3,9.75866,3.01091,3.89189,2.59831,0,0,0,0,3.6102,5.14774,2.66484,0.095048,4.802e-05,4.802e-05
4,13.371,2.32949,3.95818,1.86365,0.00083,0.25,0.01916,0.00383,4.01383,5.1481,3.34869,0.0930658,6.5842e-05,6.5842e-05
5,17.4005,2.04187,3.77043,1.84154,0.00083,0.25,0.01916,0.00383,4.01383,5.1481,3.34869,0.0910829,8.2872e-05,8.2872e-05
6,21.4168,1.81886,3.73042,1.63721,0,0,0,0,4.1568,5.1891,3.18978,0.0890991,9.911e-05,9.911e-05
7,25.4009,2.05947,3.64839,1.83876,0,0,0,0,4.1568,5.1891,3.18978,0.0871146,0.000114556,0.000114556
8,28.7316,2.24889,3.63379,1.98231,0,0,0,0,4.1568,5.1891,3.18978,0.0851292,0.00012921,0.00012921
9,31.2481,2.08334,3.63208,1.67641,0.00083,0.25,0.00077,8e-05,3.45993,4.90025,2.81061,0.0831431,0.000143072,0.000143072
10,34.1479,1.93394,3.48219,1.52041,0.00083,0.25,0.00077,8e-05,3.45993,4.90025,2.81061,0.0811561,0.000156142,0.000156142
11,36.6944,1.96347,3.33155,1.57724,0.00083,0.25,0.00077,8e-05,3.45993,4.90025,2.81061,0.0791684,0.00016842,0.00016842
12,39.4816,2.25864,3.34739,1.97395,0.00083,0.25,0.00077,8e-05,3.45993,4.90025,2.81061,0.0771799,0.000179906,0.000179906
13,42.1507,2.06327,3.51974,1.94342,0.00167,0.5,0.00181,0.00025,2.51858,4.29998,2.2123,0.0751906,0.0001906,0.0001906
14,45.323,2.00997,4.44142,2.10164,0.00167,0.5,0.00181,0.00025,2.51858,4.29998,2.2123,0.0732005,0.000200502,0.000200502
15,47.9312,1.30266,3.59007,1.54718,0.00167,0.5,0.00181,0.00025,2.51858,4.29998,2.2123,0.0712096,0.000209612,0.000209612
16,51.2644,1.74269,3.55983,1.53314,0.00167,0.5,0.00181,0.00025,2.51858,4.29998,2.2123,0.0692179,0.00021793,0.00021793
17,55.6266,1.91183,3.38033,1.83558,0.00167,0.5,0.00181,0.00025,2.51858,4.29998,2.2123,0.0672255,0.000225456,0.000225456
18,58.9859,2.30235,3.41499,1.91159,0.00167,0.5,0.00181,0.00025,2.51858,4.29998,2.2123,0.0652322,0.00023219,0.00023219
19,61.9526,1.42014,3.14152,1.36305,0.0025,0.75,0.0395,0.00492,1.67632,4.07339,1.58466,0.0632381,0.000238132,0.000238132
20,65.2031,1.49193,3.24578,1.49606,0.0025,0.75,0.0395,0.00492,1.67632,4.07339,1.58466,0.0612433,0.000243282,0.000243282
21,69.5775,0.88893,4.34761,0.80671,0.0025,0.75,0.0395,0.00492,1.67632,4.07339,1.58466,0.0592476,0.00024764,0.00024764
22,72.0416,1.62542,3.07182,1.54962,0.0025,0.75,0.0395,0.00492,1.67632,4.07339,1.58466,0.0572512,0.000251206,0.000251206
